Airport1,Airport2,TotalReservations,Distance
KFTY,KRSW,1,526.93
KFTY,KVNY,1,1936.95
KFTY,KXNA,1,579.7
KFTY,MMTO,1,1360.53
KFWA,KMKY,1,1054.71
KFWA,KPHF,1,536.88
KHCR,KJAX,1,1798.98
KHCR,KLAS,1,364.98
KHCR,KOMA,1,812.29
KHCR,KSDL,1,474.65
KHCR,KVNY,1,581.16
KHDC,KMKC,1,639.51
KHDN,KJBR,1,954.12
KHDN,KLAX,1,762.7
KGUC,KSGR,1,890.57
KGVL,KMCO,1,430.23
KGVL,KMKY,1,586.23
KGVL,KORL,1,422.18
KGVL,KRNT,1,2175.2
KHBV,KSAT,1,151.81
KHBV,KSAV,1,1101.04
KHCR,KIAD,1,1797.4
KGSO,KPNS,1,570.9
KGSO,KSNA,1,2142.5
KGSO,KSTL,1,600.36
KGSP,KMEM,1,439.27
KGSP,KSRQ,1,518.6
KGTU,KHXD,1,1005.59
KGTU,KRIL,1,833.37
KGUC,KMDD,1,524.95
KGPI,KSAN,1,1087.03
KGPT,KPHL,1,1016.75
KGRB,KSUS,1,422.84
KGRR,TNCM,1,2159.68
KGSH,KMKY,1,1098.55
KGSO,KLEX,1,289.95
KGSO,KMEM,1,568.46
KGSO,KORL,1,528.33
KATL,KHXD,1,237.31
KATL,KJZI,1,263.93
KATL,KSGJ,1,312.13
KATL,MYEH,1,730.72
KATW,KCLT,1,742.41
KAUS,KBFI,1,1772.13
KAUS,KBNA,1,755.58
KAUS,KBRO,1,296.67
KASE,KSFO,1,845.67
KASE,KSJC,1,825.78
KASE,KSRQ,1,1616.69
KASE,KSTL,1,885.45
KASE,KTPA,1,1594.18
KASE,KVNY,1,730.09
KASG,KBLM,1,1118.07
KATL,KAVL,1,164.25
KHND,KSJC,1,388.51
KHND,KSNA,1,221.87
KHND,KVNY,1,225.41
KHOT,KMCN,1,557.34
KHOT,KMTJ,1,866.71
KASE,KPDX,1,912.85
KASE,KPWA,1,566.39
KASE,KSAN,1,729.94
KHDN,KOGD,1,255.4
KHDN,KPDK,1,1336.83
KHDN,KSGJ,1,1623.25
KHDN,KSJC,1,818.53
KHDN,KSTS,1,841.45
KHDN,KTEB,1,1727.43
KHKS,KMEM,1,187.61
KHND,KIOW,1,1324.09
KHPN,KRDU,1,451.56
KHPN,KSAV,1,743.85
KHPN,KSBN,1,654.58
KHPN,KSEF,1,1035.48
KHPN,KSFO,1,2577.7
KHPN,KSLC,1,1981.59
KHPN,KTYS,1,663.96
KHPN,MDLR,1,1588.11
KHPN,KJAX,1,855.69
KHPN,KLEB,1,190.79
KHPN,KLEX,1,616.82
KHPN,KMDW,1,728.51
KHPN,KMSP,1,1018.33
KHPN,KMSY,1,1201.13
KHPN,KMVY,1,162.33
KHPN,KOPF,1,1112.89
KHOU,KTEX,1,923.41
KHOU,KVRB,1,910.76
KHOU,MMSD,1,999.0
KHOU,MPSM,1,1766.95
KHOU,MYNN,1,1137.14
KHOU,T82,1,221.32
KHPN,KHXD,1,722.89
KHPN,KISM,1,985.0
KAUS,KBZN,1,1299.15
KAUS,KCHS,1,1053.44
KAUS,KFCM,1,1036.68
KAUS,KGKY,1,173.95
KAUS,KHCR,1,1049.57
KHOU,KROW,1,600.51
KHOU,KSDL,1,1015.02
KHOU,KSLC,1,1213.39
KAPF,MMUN,1,478.22
KAPF,MRLB,1,1102.84
KAPF,MYAM,1,291.5
KAPF,TBPB,1,1704.16
KAPF,TJSJ,1,1139.12
KASE,KBJC,1,104.65
KASE,KBZN,1,502.56
KASE,KDTW,1,1244.56
KAPF,KRIL,1,1757.52
KAPF,KRST,1,1365.86
KAPF,KRVS,1,1081.1
KAPF,KSBN,1,1105.45
KAPF,KSGR,1,880.29
KAPF,KTKI,1,1011.68
KAPF,KTTN,1,1054.72
KAPF,KVNY,1,2249.39
KHRL,KPWA,1,643.11
KHSV,KSUA,1,644.83
KHTS,KLIT,1,592.02
KHVN,KLNK,1,1240.12
KHVN,KLUK,1,626.15
KHVN,TXKF,1,763.59
KHWD,KSLC,1,583.99
KHXD,KIAD,1,498.76
KHPN,MDPC,1,1586.17
KHPN,MMSD,1,2419.16
KHPN,TJSJ,1,1628.62
KHPN,TNCM,1,1710.52
KHPN,TUPJ,1,1654.47
KHPN,TXKF,1,781.16
KHRF,KSFO,1,731.29
KHRF,KVNY,1,863.3
KIAD,KNUQ,1,2399.66
KIAD,KPDK,1,516.94
KIAD,KPIT,1,181.93
KIAD,KPSP,1,2183.55
KIAD,KSDL,1,1941.74
KIAD,KSJC,1,2394.4
KIAD,KSLC,1,1823.13
KIAD,KSRQ,1,850.41
KIAD,KLCH,1,1082.13
KIAD,KLGA,1,228.4
KIAD,KLIT,1,865.69
KIAD,KLUK,1,373.54
KIAD,KLWB,1,176.06
KIAD,KMDW,1,575.8
KIAD,KMKE,1,610.18
KIAD,KNEW,1,942.16
KHXD,KMDW,1,766.14
KHXD,KPBI,1,384.58
KHXD,KSHV,1,766.12
KHXD,KSRQ,1,351.73
KHXD,MDPC,1,1215.42
KHYI,KTKI,1,239.01
KHYS,KSTC,1,534.32
KIAD,KJPX,1,308.82
KASE,KFXE,1,1784.01
KASE,KJAC,1,363.25
KASE,KLAX,1,736.01
KASE,KMAF,1,566.98
KASE,KMDW,1,1017.56
KASE,KMKY,1,1718.75
KASE,KOCF,1,1563.26
KASE,KOMA,1,595.76
KICT,KTTN,1,1225.28
KILG,KMIA,1,996.72
KILG,KSTL,1,792.06
KILM,KLNS,1,413.84
KILM,KPBI,1,540.26
KIND,KLAX,1,1809.98
KIND,KMSY,1,708.27
KIND,KORF,1,580.56
KICT,KJAC,1,808.61
KICT,KJAX,1,1025.87
KICT,KLAX,1,1200.33
KICT,KMDT,1,1122.34
KICT,KMSY,1,669.92
KICT,KORD,1,586.79
KICT,KRIL,1,570.56
KICT,KSDL,1,858.16
KIAH,KLAS,1,1219.65
KIAH,KMIA,1,962.75
KIAH,KSAC,1,1598.7
KIAH,KSJC,1,1605.15
KIAH,KSLC,1,1194.48
KIAH,KSNA,1,1343.92
KIAH,MDPC,1,1866.53
KIAH,MYNN,1,1145.97
KIAD,KSSI,1,582.53
KIAD,KSUA,1,828.38
KIAD,KTKI,1,1137.67
KIAD,KTMB,1,935.04
KIAD,KVNY,1,2280.62
KIAD,MDCY,1,1435.85
KIAD,MMPR,1,2075.74
KIAD,TQPF,1,1673.71
KJAC,KPDX,1,598.69
KJAC,KPTK,1,1372.65
KJAC,KRDM,1,519.69
KJAC,KRFD,1,1096.5
KJAC,KSNA,1,786.02
KJAC,KSYR,1,1727.36
KJAC,KVGT,1,562.79
KJAC,KVNY,1,770.76
KISP,TKPK,1,1736.47
KIWA,MMSL,1,723.29
KIYK,KLAS,1,152.7
KIYK,KLVK,1,262.02
KJAC,KJWN,1,1358.39
KJAC,KMIA,1,2103.23
KJAC,KMKE,1,1146.25
KJAC,KMTJ,1,382.03
KISM,KOAK,1,2430.72
KISM,KPBI,1,138.14
KISM,KRDU,1,546.67
KISM,KSDL,1,1835.87
KISM,KSLN,1,1179.41
KISM,KSUA,1,106.72
KISM,KTEB,1,963.05
KISP,KVRB,1,998.59
KIND,KROA,1,379.35
KIND,KRSW,1,947.49
KIND,KTIX,1,834.96
KINT,KJAX,1,398.74
KINT,KPWK,1,582.78
KISM,KJWN,1,631.26
KISM,KLNK,1,1226.5
KISM,KMIA,1,186.24
KJZI,KRIC,1,364.91
KJZI,KSGR,1,948.64
KJZI,KSRQ,1,397.02
KJZI,KSUA,1,381.56
KJZI,KSVH,1,218.57
KLAL,KMIA,1,185.18
KLAL,KNEW,1,504.19
KLAL,MYEN,1,398.25
KJWN,KRSW,1,731.75
KJYO,KMTJ,1,1626.55
KJYO,KTEB,1,221.97
KJZI,KLUK,1,506.49
KJZI,KMKC,1,927.6
KJZI,KOKC,1,1023.04
KJZI,KPIT,1,538.43
KJZI,KPWK,1,780.81
KJKA,KLIT,1,405.47
KJQF,KTEB,1,522.21
KJQF,KTPA,1,523.22
KJWN,KJZI,1,459.96
KJWN,KMRY,1,1933.74
KJWN,KMSY,1,470.03
KJWN,KMTJ,1,1162.47
KJWN,KPWK,1,413.41
KJAN,MYEH,1,936.72
KJAX,KTEB,1,833.01
KJAX,MYAM,1,392.19
KJAX,TNCM,1,1448.83
KJAX,TUPJ,1,1359.13
KJFK,KMTV,1,435.84
KJFK,KOXC,1,66.95
KJFK,KSGJ,1,851.45
KLAX,KSBA,1,88.49
KLAX,KSDM,1,125.57
KLAX,KSMF,1,373.08
KLAX,KSUA,1,2305.79
KLAX,KTEB,1,2453.82
KLAX,KUDD,1,123.14
KLAX,MMPR,1,1219.0
KLAX,MMSL,1,916.52
KLAS,MMSL,1,959.46
KLAS,MRLB,1,2554.38
KLAX,KLAX,1,0.0
KLAX,KMFR,1,630.86
KLAX,KMMH,1,255.5
KLAX,KMOD,1,291.75
KLAX,KMRY,1,266.3
KLAX,KPBI,1,2325.63
KLAS,KSDL,1,250.21
KLAS,KSGR,1,1213.66
KLAS,KSLN,1,976.6
KLAS,KTEB,1,2226.7
KLAS,KUGN,1,1516.69
KLAS,KVRB,1,2107.25
KLAS,KXNA,1,1160.34
KLAS,KYNG,1,1880.93
KLAS,KLRD,1,1091.67
KLAS,KOMA,1,1096.68
KLAS,KPBI,1,2154.12
KLAS,KPSC,1,733.07
KLAS,KPWM,1,2404.6
KLAS,KRIL,1,469.84
KLAS,KRNM,1,232.82
KLAS,KSCK,1,358.44
KLUK,KRSW,1,881.82
KLUK,MYEH,1,1043.32
KLVK,KPHX,1,624.46
KLVK,KRNO,1,166.86
KLVM,KSDL,1,837.98
KLWB,KMSP,1,821.53
KLWM,KSTS,1,2684.3
KLZU,KPBI,1,554.15
KLNK,KRSW,1,1308.37
KLNK,KSDL,1,969.57
KLNK,KTEB,1,1182.95
KLNS,KPBI,1,953.83
KLRD,KMKC,1,847.57
KLRD,MMSD,1,708.47
KLUK,KPDK,1,361.21
KLUK,KRDU,1,380.58
KLGA,KMCO,1,951.32
KLGA,KMDW,1,723.25
KLGA,KPBI,1,1036.66
KLGA,MMSD,1,2404.37
KLGB,KPBI,1,2310.66
KLIT,KMSY,1,346.76
KLIT,KTPA,1,737.42
KLMT,KPDX,1,241.03
KLBE,KTMB,1,1012.26
KLBF,KLSE,1,516.14
KLBF,KMKG,1,752.48
KLBF,KSDL,1,804.25
KLBF,KUDD,1,993.49
KLEW,KPHF,1,578.0
KLEX,KSRQ,1,744.83
KLEX,KTEB,1,594.97
KAPF,KOCF,1,210.42
KAPF,KORL,1,167.56
KAPF,KOSU,1,965.2
KAPF,KPBI,1,110.24
KAPF,KPDK,1,554.59
KAPF,KPHL,1,1020.0
KAPF,KPHX,1,1874.05
KAPF,KPNE,1,1038.18
KAPF,KJKA,1,458.73
KAPF,KLAF,1,1028.87
KAPF,KLAS,1,2077.95
KAPF,KLEX,1,837.59
KAPF,KLUK,1,907.79
KAPF,KMEM,1,783.66
KAPF,KMQS,1,1014.14
KAPF,KMSP,1,1441.96
KMCO,KSDL,1,1840.07
KAPF,KCRE,1,559.76
KAPF,KCVG,1,906.68
KAPF,KFHB,1,308.71
KAPF,KGFL,1,1273.32
KAPF,KGYY,1,1115.74
KAPF,KHDC,1,605.84
KAPF,KHKS,1,664.24
KMAF,KSGR,1,420.2
KMAF,MMSL,1,781.25
KMAF,T82,1,227.44
KMBT,KTEB,1,749.5
KMCC,KOGD,1,526.86
KMCO,KMFD,1,858.95
KMCO,KORF,1,655.75
KMCO,KPWK,1,1015.22
KMFR,KRDM,1,156.09
KMGY,KRME,1,521.33
KMGY,KTCL,1,478.52
KMHR,MMPR,1,1561.28
KMHT,TJSJ,1,1721.92
KMIA,KMIA,1,0.0
KMIA,KMSP,1,1502.42
KMIA,KOGD,1,2097.55
KMDW,KVNY,1,1742.85
KMDW,KXNA,1,517.77
KMDW,T82,1,1010.45
KMEM,KMLI,1,443.54
KMEM,KRSW,1,763.25
KMEM,KTKI,1,399.51
KMEM,MYAM,1,964.54
KMFE,MMTO,1,480.02
KMDW,KMGM,1,659.62
KMDW,KPSP,1,1653.86
KMDW,KRIL,1,1056.16
KMDW,KRYY,1,563.82
KMDW,KSLC,1,1255.44
KMDW,KSLN,1,560.88
KMDW,KSRQ,1,1036.79
KMDW,KTCL,1,591.86
KAPF,KPTK,1,1144.76
KMCO,KSLC,1,1928.3
KMCO,KTEB,1,951.1
KMCO,KVQQ,1,128.29
KMCO,MDPC,1,1064.66
KMCO,MYAM,1,290.89
KMDT,KPSP,1,2217.35
KMDT,KTEB,1,148.97
KMKE,KSUA,1,1171.3
KMKT,KNEW,1,1002.64
KMKY,KTTN,1,1062.69
KMLB,KRIC,1,677.61
KMLI,KSLC,1,1115.63
KMLI,KTYS,1,524.38
KMMU,KMTJ,1,1777.15
KMMU,KOPF,1,1082.46
KMKC,KPPO,1,446.86
KMKC,KSDL,1,1033.55
KMKC,KSUA,1,1168.36
KMKC,KTEB,1,1090.96
KMKC,KUDD,1,1257.6
KMKC,KUGN,1,419.07
KMKE,KMMU,1,708.51
KMKE,KMSP,1,296.76
KMIA,KWST,1,1179.04
KMIA,MBPV,1,578.09
KMIA,MMUN,1,530.91
KMIA,MPMG,1,1163.3
KMIA,MWCR,1,454.41
KMIA,MYLS,1,350.32
KMIA,MYNN,1,183.81
KMIA,SEQM,1,1795.53
KMIA,KORL,1,200.53
KMIA,KPBI,1,62.51
KMIA,KPIE,1,207.7
KMIA,KPUB,1,1652.12
KMIA,KSRQ,1,178.29
KMIA,KTPA,1,204.43
KMIA,KUUV,1,1067.99
KMIA,KVQQ,1,320.58
KAPC,KJAC,1,707.68
KAPC,KMSP,1,1562.11
KAPC,KOAK,1,34.14
KAPC,KPWA,1,1369.97
KAPC,KSDL,1,660.71
KAPC,KTEB,1,2543.55
KAPC,KVNY,1,348.02
KAPF,KBAF,1,1219.41
KAPA,KPSP,1,756.93
KAPA,KSCD,1,1119.64
KAPA,KSNA,1,827.68
KAPA,KSUA,1,1650.53
KAPA,KTMB,1,1706.93
KAPA,KTPA,1,1504.97
KAPA,MMSL,1,1186.55
KAPC,KBZN,1,773.15
KMOB,KRVS,1,579.39
KMQJ,KSCD,1,461.53
KMQS,KTMB,1,1024.72
KMQS,KTPA,1,912.42
KMRY,KSAN,1,375.18
KMRY,KSTL,1,1719.32
KAPA,KHDN,1,140.22
KAPA,KMKC,1,548.59
KMMU,KPDK,1,722.9
KMMU,KSDM,1,2401.23
KMMU,KSLC,1,1949.5
KMMU,KSTS,1,2546.57
KMMU,KTPA,1,998.55
KMMU,MBPV,1,1320.53
KMMU,MKJS,1,1554.39
KMMU,TNCA,1,1973.34
KMTJ,KSGR,1,929.95
KMTJ,KSUN,1,479.77
KMTJ,KTPA,1,1628.82
KMTJ,KXNA,1,760.77
KMTN,KVNY,1,2334.33
KMTN,KVRB,1,838.43
KMTN,TAPA,1,1767.22
KMTV,MYNN,1,815.0
KMSP,KRSW,1,1418.13
KMSP,MMSL,1,1785.14
KMSY,KPDK,1,440.28
KMSY,KRIL,1,1187.06
KMSY,KTEB,1,1177.45
KMSY,MYEH,1,886.33
KMSY,MYNN,1,854.67
KMSY,TKPK,1,1943.37
KMSN,KNEW,1,905.76
KMSN,KOMA,1,358.55
KMSN,KOPF,1,1295.61
KMSN,KPNS,1,883.14
KMSO,KPSP,1,912.99
KMSP,KOMA,1,281.61
KMSP,KPSP,1,1451.75
KMSP,KPUB,1,738.45
KAPF,KBLM,1,1064.8
KAPF,KBOS,1,1275.28
KAPF,KBWI,1,947.14
KAPF,KCHS,1,477.64
KAPF,KCLE,1,1054.17
KAPF,KCOS,1,1589.58
KMRY,KUDD,1,370.54
KMSN,KMSN,1,0.0
KOMA,KSDL,1,1023.77
KONT,KSJC,1,333.33
KOPF,KOPF,1,0.0
KOPF,KPIT,1,1007.68
KOPF,KPTK,1,1171.48
KOPF,KRIL,1,1841.3
KOPF,MBPV,1,580.99
KOPF,TNCM,1,1225.37
KOCF,KRDU,1,504.64
KODO,KSAT,1,285.21
KOFP,KSDL,1,1944.57
KOJC,KUUV,1,197.71
KOKC,KRNO,1,1245.21
KOMA,KOMA,1,0.0
KOMA,KPSP,1,1237.3
KOMA,KPWK,1,415.9
KNEW,KTYR,1,355.47
KNUQ,KSLC,1,587.67
KOAK,KPSP,1,418.09
KOAK,KSLC,1,587.16
KOAK,KTRM,1,442.31
KOAK,KVNY,1,319.96
KOAK,MMSD,1,1249.5
KOCF,KOSU,1,755.22
KMVL,KTEB,1,264.95
KMVY,KTEB,1,183.3
KMYF,KTOA,1,97.26
KMYL,KSAN,1,841.87
KMYL,KSTS,1,560.05
KNEW,KPCW,1,887.73
KNEW,KSGR,1,338.56
KNEW,KSUA,1,626.56
KPBI,KVBT,1,1064.58
KPBI,KVNY,1,2331.01
KPBI,TQPF,1,1234.11
KPDK,KSGJ,1,321.54
KPDK,KSRQ,1,459.64
KPDK,KSSI,1,253.33
KPDK,KTLH,1,240.41
KPDK,KTUS,1,1544.21
KOTH,KSFO,1,412.47
KOXC,KSFO,1,2601.48
KPBI,KSAV,1,382.02
KPBI,KSFO,1,2562.39
KPBI,KSGR,1,968.64
KPBI,KSNA,1,2294.05
KPBI,KTIX,1,133.69
KPBI,KTUL,1,1137.19
KORL,KSNA,1,2178.74
KORL,KTPA,1,82.99
KORL,KTUL,1,998.79
KORL,KXNA,1,925.12
KORL,MYNN,1,339.9
KORL,TLPL,1,1660.11
KOSU,KRIL,1,1305.07
KOSU,KTEB,1,476.51
KOQU,TJIG,1,1629.29
KOQU,TXKF,1,737.72
KORD,KPSM,1,871.76
KORD,KRSW,1,1122.41
KORF,KSPI,1,757.11
KORF,MYAM,1,719.37
KORL,KPBI,1,149.31
KORL,KPHL,1,855.97
KPIT,KSUS,1,568.72
KPIT,KTEB,1,324.32
KPIT,KTMB,1,1025.69
KPIT,KTME,1,1149.41
KPIT,KVRB,1,886.94
KPIT,MMMY,1,1528.09
KPIT,MMTO,1,1855.58
KPNS,KSUA,1,478.9
KPHL,MMSL,1,2335.22
KPHL,TNCM,1,1673.39
KPHX,KSLC,1,508.13
KPHX,T82,1,799.4
KPIE,KSDF,1,730.81
KPIE,KXNA,1,891.71
KPIE,MBPV,1,778.13
KPIE,MYNN,1,378.82
KPGA,KPSP,1,356.24
KPGA,KVNY,1,437.83
KPGD,KWDR,1,498.19
KPHF,KPWM,1,555.05
KPHL,KPHX,1,2070.93
KPHL,KRDU,1,336.97
KPHL,KSTL,1,811.54
KPHL,KTMB,1,1027.58
KPDK,KVRB,1,487.63
KPDK,TAPA,1,1810.9
KPDX,KPHX,1,1009.77
KPDX,KSAN,1,933.69
KPDX,KSBA,1,784.79
KPDX,KSEA,1,129.3
KPDX,KSMF,1,479.06
KPDX,KSNA,1,860.31
KAHN,KJAX,1,257.18
KAHN,KPBI,1,537.62
KALN,KSDF,1,238.09
KAMA,KMSY,1,757.09
KAMA,KRIL,1,444.66
KAMA,KSAT,1,435.8
KAPA,KBCT,1,1690.34
KAPA,KBNA,1,1017.66
KAFW,KJAC,1,1030.65
KAFW,KLAS,1,1035.65
KAFW,KMCO,1,1000.68
KAFW,MMSL,1,1034.96
KAGC,KEWR,1,303.38
KAGC,KISM,1,837.97
KAGS,KSJC,1,2251.8
KAGS,KSUA,1,440.01
KADS,KLAX,1,1243.05
KADS,KPWK,1,798.34
KADS,KSAT,1,256.13
KADS,KSDL,1,870.96
KADS,KSRQ,1,934.79
KADS,MMSD,1,1036.23
KAFW,KAPA,1,618.06
KAFW,KBNA,1,642.63
KPRB,KTIW,1,807.42
KPSF,KPVD,1,107.27
KPSP,KSTL,1,1489.27
KPVD,KTMB,1,1223.67
KPWK,KRIL,1,1049.51
KADS,KBZN,1,1165.84
KADS,KHDO,1,285.19
KADS,KJWN,1,607.68
KROC,KSUA,1,1110.4
KRST,KSNA,1,1529.57
KRSW,KSFO,1,2476.73
KRSW,KSUA,1,104.54
KRUT,KSKX,1,1787.14
KRYY,KSFB,1,412.49
KSAF,KSFO,1,912.52
KSAN,KSFO,1,446.74
KRIL,KSBA,1,754.9
KRIL,KSFO,1,801.21
KRIL,KSLC,1,240.73
KRIL,KTEB,1,1768.44
KRME,KVRB,1,1112.13
KRNO,KSAN,1,489.05
KRNO,KSJC,1,188.3
KROA,KRST,1,797.58
KPWM,KTEB,1,272.23
KRDG,KRDU,1,346.7
KRDM,KSDL,1,885.33
KRDM,KSFO,1,462.86
KRDU,KSUA,1,606.71
KRDU,KVRB,1,576.08
KRDU,MYEM,1,746.36
KRIL,KSAT,1,867.49
KAPA,KBOS,1,1764.44
KAPA,KHBV,1,914.31
KPWK,KRST,1,263.27
KPWK,KSBA,1,1800.24
KPWK,KSRQ,1,1060.73
KPWK,KTEB,1,720.92
KPWK,MYBS,1,1235.89
KPWK,MYNN,1,1321.46
KSDL,MMPR,1,982.78
KSDL,MMSD,1,735.55
KSDL,MMSL,1,747.13
KSDM,KSNA,1,91.94
KSDM,MMLP,1,711.55
KSDM,MMSL,1,791.55
KSEA,PHOG,1,2639.77
KSFB,KTME,1,885.85
KSDL,KSMO,1,376.38
KSDL,KSNA,1,342.65
KSDL,KSUN,1,694.68
KSDL,KTEB,1,2123.57
KSDL,KTEX,1,373.87
KSDL,KTKI,1,883.53
KSDL,KTMB,1,1960.45
KSDL,KUDD,1,251.06
KSAV,KVNC,1,357.17
KSBA,KSDM,1,208.76
KSBA,KSGR,1,1451.31
KSBA,KSRQ,1,2249.95
KSCK,PHOG,1,2401.47
KSDL,KSGF,1,1070.41
KSDL,KSJC,1,619.57
KSDL,KSLN,1,870.12
KSAN,KSLC,1,626.58
KSAN,KSLN,1,1169.69
KSAN,KTEB,1,2425.77
KSAT,KSLC,1,1086.91
KSAT,KTEB,1,1576.62
KSAT,MMPR,1,744.2
KSAT,MMSD,1,823.8
KSAV,KTVI,1,179.11
KSLC,MMPR,1,1444.42
KSLC,MMSL,1,1238.28
KSLK,KTEB,1,244.38
KSMF,KSTL,1,1674.71
KSMX,KTIX,1,2356.95
KSNA,KSNL,1,1194.71
KSNA,KTUS,1,415.94
KSNA,KUDD,1,91.71
KSHD,KTPA,1,741.17
KSJC,KTEB,1,2545.82
KSJC,MMSD,1,1220.22
KSJC,MMSL,1,1224.31
KSJC,PHLI,1,2463.5
KSLC,KSNA,1,588.33
KSLC,KTRM,1,545.55
KSLC,KVDF,1,1893.05
KSGR,KSNA,1,1333.34
KSGR,KTEB,1,1438.52
KSGR,KTYS,1,800.64
KSGR,MMCP,1,750.54
KSGR,MYEH,1,1195.65
KSGU,KSJC,1,463.72
KSGU,KSLC,1,272.01
KSGU,KTRM,1,278.9
KSFO,KSLC,1,597.75
KSFO,KSNA,1,371.76
KSFO,KSUA,1,2539.56
KSFO,KVNY,1,320.5
KSFO,PHKO,1,2366.2
KSFO,PHOG,1,2336.59
KSGF,KSRQ,1,927.85
KSGJ,KSPA,1,344.39
KTEB,KTME,1,1442.11
KTEB,KTUS,1,2118.48
KTEB,KTYS,1,640.52
KTEB,KUNV,1,197.89
KTEB,KVNY,1,2450.5
KTEB,LFPB,1,3624.68
KTEB,MBPV,1,1322.22
CYYZ,KASE,1,1436.88
KSUN,KVNY,1,680.4
KSUS,KTWF,1,1274.01
KSUS,MYAF,1,1222.95
KSVH,KTEB,1,512.63
KSVH,KVRB,1,561.2
KSZT,KUES,1,1406.06
KTCL,MYNN,1,832.49
KTEB,KTEX,1,1806.87
KSTL,MYNN,1,1209.84
KSTS,KTRM,1,501.62
KSUA,KYNG,1,973.18
KSUA,MMTO,1,1340.07
KSUA,MROC,1,1215.66
KSUA,MYAM,1,198.82
KSUA,MYNN,1,226.12
KSUA,TNCM,1,1258.98
KADM,KBNA,1,596.92
KADS,KAPF,1,1018.85
KADS,KAUS,1,197.83
KSRQ,KTTN,1,993.71
KSRQ,MDLR,1,1064.26
KSTC,KUGN,1,375.79
KSTL,KSUA,1,990.93
KSTL,KSUS,1,16.34
TJSJ,TNCM,1,191.83
KBFI,KTIX,1,2570.7
KBFI,KVNY,1,941.35
KBFI,PHOG,1,2643.1
KBFI,TNCM,1,3878.57
KBFM,KIAD,1,831.26
KBFM,KLIT,1,372.47
KBGM,KTPA,1,1050.03
KVNY,MMPR,1,1235.46
KVNY,MMSD,1,929.78
LTBA,VIDP,1,2832.98
MBPV,TUPJ,1,551.43
MMCZ,MWCR,1,371.77
MMGL,MMMY,1,416.3
MMGL,MMTO,1,256.67
MMSM,TAPA,1,2441.61
KTEB,TQPF,1,1695.42
KTMB,KTPA,1,206.48
KTMB,KYIP,1,1159.89
KTMB,MBPV,1,581.53
KTPA,MRLB,1,1216.77
KTUL,MMSL,1,1242.54
KTUS,MMSD,1,623.9
KUDD,KVNY,1,130.85
CYYZ,KDTW,1,213.7
KTEB,MMSL,1,2416.42
KTEB,MMTO,1,2114.01
KTEB,MMUN,1,1561.02
KTEB,MWCR,1,1550.58
KTEB,MYEH,1,1072.89
KTEB,TAPA,1,1794.03
KTEB,TNCM,1,1704.79
